Consulta de Precios y Stock,,,,,,
,,,,,,
Código,Producto,GENERAL,DEPOSITO,Proveedor,Unidad,Observaciones
1453711,VELA BLANCA 20CM ILUMINARTE COMUN/BAUTISMO X 1U,"2,300.00",0.00,AICHINO HECTOR,UNIDAD,
1453712,CORONITA METAL 6.5CM C/STRASS X 1 U PLATA-DORADO,"7,500.00",0.00,AICHINO HECTOR,UNIDAD,
1453713,"GLOBOS PERLADOS 12""GLOBOX 25U","6,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453716,SORPRESITAS SURTIDO DE COCINA X 36U,"5,500.00",-1.00,,UNIDAD,
1453719,FIERITA METRICO MUNDIAL CAJA X 24U,"7,300.00",0.00,,UNIDAD,
145372,ANTEOJOS STEAMPUNK C/PUNTAS,"9,500.00",0.00,,UNIDAD,
1453720,CHICLE FIERITA MUNDIAL CAJA X 50U,"3,800.00",-3.00,,UNIDAD,
1453721,VELITAS MAGICAS CHICA CAJA X 12U,400.00,0.00,AICHINO HECTOR,UNIDAD,
1453722,VASO 500CC GLITTER C/TAPA Y SORBETE X 1 U,"1,200.00",0.00,BUONA FORTUNA,UNIDAD,
1453723,PELOTITAS CHOCOLATE,"6,400.00",0.00,DULCES VILLA ALLENDE,UNIDAD,
1453724,KITKAT X 41.5 G,"1,900.00",-2.00,DULCES VILLA ALLENDE,UNIDAD,
1453725,SORBETES POLIPAPEL X 20 U VS COLORES (BRANCA),"1,500.00",-1.00,BUONA FORTUNA,UNIDAD,
1453726,BURBUJERO COLOR LISOS BOLSA X 6U BRANCA,"4,000.00",0.00,BUONA FORTUNA,UNIDAD,
1453727,BURBUJERO COLOR LISOS X 1U,"1,000.00",0.00,BUONA FORTUNA,UNIDAD,
1453729,CONTENEDOR PLASTICO KOVAL X 10U,"11,300.00",0.00,VASA,UNIDAD,
1453730,PLATOS BLANCOS P-17 X 50U BANPLAST,"5,600.00",-14.00,VASA,UNIDAD,
1453731,PLATOS BLANCOS P-17 X 10,"1,500.00",-70.00,VASA,UNIDAD,
1453732,BANDEJAS MADERA REDONDA 22 CM MELAMINA,"1,400.00",-1.00,OTERO,UNIDAD,
1453733,BANDEJAS MADERA REDONDA 32 CM MELAMINA,"2,800.00",-8.00,OTERO,UNIDAD,
1453734,CONTENEDOR PLASTICO KOVAL X 5 U,"6,000.00",0.00,,UNIDAD,
1453735,CONTENEDOR PLASTICO KOVAL X 1 U,"1,500.00",0.00,VASA,UNIDAD,
1453736,VASO 180CC BLANCO X 50 U,"2,800.00",-6.00,VASA,UNIDAD,
1453737,VASO 180CC BLANCO X 10 U,650.00,-33.00,VASA,UNIDAD,
1453738,VASO 180CC COLOR X 10 U,700.00,0.00,VASA,UNIDAD,
1453739,BOLSA PAPEL KRAFT Nº2L X 10U,400.00,0.00,,UNIDAD,
145374,CRUZ VAMPIRO C/PIEDRA ROJA,"5,900.00",0.00,,UNIDAD,
1453740,PAPEL FILM 30CM ROLLO X 20 MT (CANAAN),"1,500.00",0.00,VASA,UNIDAD,
1453741,GALLETA PEPITOS MINI X 50 G,"1,100.00",0.00,ARCOR,UNIDAD,
1453742,BIZCOCHUELO CAJA CHOCOLATE AGUILA 530 G,"5,900.00",0.00,ARCOR,UNIDAD,
1453743,PLANCHA MERENGUE ROSSI RECT-REDONDA X 1U,0.00,0.00,,UNIDAD,
1453745,MASTICABLE YUM YUM SURTIDO 300GR,"2,700.00",-10.00,CHIALVO S R L,UNIDAD,
1453746,BANDEJA CARTON LAMINADA DORADA RECT (18X26) X 1U,450.00,-3.00,,UNIDAD,
1453747,BANDEJA CARTON LAMINADA DORADA 22CM X 1U,400.00,-8.00,,UNIDAD,
1453748,BANDEJA CARTON LAMINADA DORADA 20CM X 1U,350.00,-17.00,,UNIDAD,
1453749,ESPADITAS PARA COPETIN X 100U APROX,"1,000.00",-2.00,COTILLON CASA ALBERTO,UNIDAD,
145375,ANTIFAZ BATI NEGRO,"3,000.00",-2.00,,UNIDAD,
1453750,PARCHE PIRATA PLASTICO STASIO X 1 U RIGIDO,550.00,0.00,COTILLON CASA ALBERTO,UNIDAD,
1453751,BANDERIN PLASTICO TRIANG. IMAGEN X 1 COLOR (3.20MT),"2,500.00",0.00,IMAGEN PARTY,UNIDAD,
1453752,BANDERA PLAST MED. ARGENTINA X 1 U (IMAGEN),"1,000.00",0.00,IMAGEN PARTY,UNIDAD,
1453753,BANDERIN PLASTICO MEXICANO X 1 U (IMAGEN),"3,400.00",0.00,IMAGEN PARTY,UNIDAD,
1453754,BANDERA PLAST. CHICA ARGENTINA X 1 (IMAGEN)15X25CM,400.00,-75.00,IMAGEN PARTY,UNIDAD,
1453755,GLOBO NUDO PLA PLA PLAST LISO X 1 U (IMAGEN),"1,000.00",0.00,IMAGEN PARTY,UNIDAD,
1453756,LLUVIA METALIZADA VS COLORES X 1U (IMAGEN),700.00,0.00,IMAGEN PARTY,UNIDAD,
1453757,BANDERA PLAST. CHICA ARGENTINA X 10U (IMAGEN),"3,000.00",-7.00,IMAGEN PARTY,UNIDAD,
1453758,BANDERA PLASTICA CHICA ARGENTINA X 25U (IMAGEN),"5,500.00",-3.00,IMAGEN PARTY,UNIDAD,
1453759,PORRON PLAST. VS COLORES X 1 U (IMAGEN),"2,500.00",0.00,IMAGEN PARTY,UNIDAD,
145376,COLLAR DARK,"3,800.00",0.00,,UNIDAD,
1453760,POLLERA HAWAIANA COLOR X 1 (IMAGEN),"5,000.00",0.00,IMAGEN PARTY,UNIDAD,
1453761,POLLERA HAWAIANA PLAST GRANDE X 1 (IMAGEN),"8,500.00",0.00,IMAGEN PARTY,UNIDAD,
1453762,MANGA DESCARTABLE N° 0 X 10 U (IMAGEN),"1,400.00",0.00,IMAGEN PARTY,UNIDAD,
1453763,MANGA DESCARTABLE N° 1 X 10 U (IMAGEN),"1,700.00",0.00,IMAGEN PARTY,UNIDAD,
1453764,MANGA DESCARTABLE N° X 10 U (IMAGEN),"2,100.00",0.00,IMAGEN PARTY,UNIDAD,
1453765,MANGA DESCARTABLE N° 3 X 10 U (IMAGEN),"3,200.00",-2.00,IMAGEN PARTY,UNIDAD,
1453766,MANGA DESCARTABLE N° 4 X 10 U (IMAGEN),"4,200.00",-1.00,IMAGEN PARTY,UNIDAD,
1453767,MANGA DESCARTABLE N° 5 X 10 U (IMAGEN),"5,600.00",0.00,IMAGEN PARTY,UNIDAD,
1453768,BANDERIN PLAST. ARMADO 2 MT X 1U (IMAGEN),"2,700.00",-6.00,IMAGEN PARTY,UNIDAD,
1453769,TOPPER FELIZ CUMPLEAÑOS C/LUZ,"4,000.00",0.00,FER,UNIDAD,
145377,LATIGO NEGRO,"12,000.00",0.00,,UNIDAD,
1453770,TOPPER METALIZADO FELIZ CUMPLE CURSIVA X 1U,"3,500.00",-2.00,FER,UNIDAD,
1453771,TOPPER PLAST. FELIZ CUMPLEAÑOS MULT X 1U PARTY,"4,000.00",-4.00,FER,UNIDAD,
1453773,BANDERIN FLUO C/FLECOS F/CUMPLE X 1 (42),"2,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453776,BOMBON BEL SURTIDO X50 U,"7,500.00",-4.00,CHIALVO S R L,UNIDAD,
1453777,PELUCAS PELOS PARADOS,"8,000.00",0.00,,UNIDAD,
1453778,CLARINETE PATRIO X 1U,"4,500.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453779,VUVUZELA ARGENTINA X 1U RAYADA,"4,500.00",-2.00,COTILLON CASA ALBERTO,UNIDAD,
145378,CUERNOS DE MALEFICA DE GOMA,"25,000.00",0.00,,UNIDAD,
1453780,CORNETA CANCHA ARGENTINA X 1U (EN 2 PARTES),"4,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453781,TAMBOR REDOBLANTE PATRIO X 1U,"15,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453782,ESPADA SAN MARTIN CON FUNDA C/DORADO X 1U,"6,000.00",0.00,,UNIDAD,
1453783,FAROL PLAST. CON VELA X 1U STASIO,"5,000.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453784,BASTON CABALLERO C/EMP DORADA X 1 U PATRIO,"3,000.00",-5.00,COTILLON CASA ALBERTO,UNIDAD,
1453785,BASTON CURVO PLAST PATRIO X 1,"3,000.00",-4.00,COTILLON CASA ALBERTO,UNIDAD,
1453786,DELANTAL PAISANA/NEGRITA PATRIO X 1U,"4,000.00",-4.00,COTILLON CASA ALBERTO,UNIDAD,
1453788,CORNETA ARGENTINA 32 CM RAYADA X 1,"2,500.00",-1.00,AICHINO HECTOR,UNIDAD,
145379,BALAS X72,"12,000.00",0.00,,UNIDAD,
1453790,VINCHA ARGENTINA MANITO X 6U (TRIGER),"7,800.00",-2.00,AICHINO HECTOR,UNIDAD,
1453791,VINCHA ARGENTINA MANITO X 1U (TRIGER),"2,000.00",-12.00,AICHINO HECTOR,UNIDAD,
1453792,CORNETA TROMPETAZO ARGENTINA X 1U MANUAL,"5,900.00",-1.00,AICHINO HECTOR,UNIDAD,
1453793,GORRO BUFON ARGENTINA POLAR C/BANDERA X 1U,"12,000.00",0.00,AICHINO HECTOR,UNIDAD,
1453794,GALERA ARGENTINA PLUSH X 1U,"9,900.00",0.00,AICHINO HECTOR,UNIDAD,
1453795,GORRO ARGENTINA VIKINGO X 1U,"9,900.00",0.00,AICHINO HECTOR,UNIDAD,
1453796,GORRA BASEBALL CELESTE/BLANCO X 1U PARTY,"5,000.00",-1.00,AICHINO HECTOR,UNIDAD,
1453797,GORRA ARGENTINA TRUKER C/SOL X 1U,"7,500.00",-3.00,AICHINO HECTOR,UNIDAD,
1453798,VINCHA PAST RESORTE VS MODELOS X 1U,"1,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453799,GALERA ARGENTINA RAYAS PLUSH X 1U PARTY,"9,900.00",0.00,AICHINO HECTOR,UNIDAD,
145380,CAPA DORADA LARGA C/CAPUCHA,"15,000.00",0.00,,UNIDAD,
1453800,GORRO ARGENTINA DEDOS PLUSH X 1U,"9,900.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453801,GORRO ARGENTINA PAÑO VS MODELOS X 1U,"5,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453802,MARGARINA OFERTA X KG,"10,500.00",0.00,BYC,UNIDAD,
1453803,COCO RALLADO OFERTA X KG,"15,000.00",0.00,NICCO,UNIDAD,
1453804,NUMERO GOMA EVA MEDIANO C/BRILLO C/U,750.00,0.00,,UNIDAD,
1453805,INFLADOR DE GLOBO COMUN PLASTICO,"3,500.00",0.00,,UNIDAD,
1453806,VELA PLATEADA/DORADA 19CM PARTY CANDLES,"4,000.00",-3.00,,UNIDAD,
1453807,VELA METAL X6 BLANCAS Y CELESTE PARTY BIRTHDAY CANDLES,"3,000.00",-1.00,,UNIDAD,
1453808,VELAS PASTEL 6CM X6 PARTY CANDLES,"1,500.00",-15.00,,UNIDAD,
1453809,VELAS ZIG ZAG PASTEL 9CM X 8,"2,500.00",-1.00,,UNIDAD,
145381,CADERIN DE ODALISCA,"15,000.00",0.00,,UNIDAD,
1453810,VELAS ONDAS METALIZADAS X6 CANDELE,"2,500.00",-3.00,,UNIDAD,
1453811,SOMBRERO COWBOY ARGENTINA CELESTE Y BLANCO,"12,000.00",-1.00,,UNIDAD,
1453813,ESPATULA REPOSTERA RECTA 20CM,"4,200.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453814,RALLADOR METALICO CURVO C/MANGO 24CM,"3,200.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453815,ESTUCHE C/ANILLOS FLOR X36U,"10,000.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453817,SET FRASE TE AMO CURSIVA GLOBO PAPEL,"2,800.00",-1.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453818,BANDERA DE ARGENTINA 70X140CM,"6,000.00",-2.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453819,BANDERA DE ARGENTINA 90X145CM,"8,000.00",-2.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453820,BANDERA DE ARGENTINA 60X90 CM C/U,"4,500.00",-9.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453821,AEROSOL REVELADOR DE SEXO,"23,000.00",0.00,,UNIDAD,
1453822,VELA LED ALTA X24 FRIA C/U,"1,000.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453823,CORONA PLASTICA PLATEADA CON GEMAS X12 C/U,"2,500.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453824,ASUSTA SUEGRA X10U,"2,000.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453825,COLLAR DE FLORES MULTICOLOR X12,"12,000.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453826,ANILLOS LUMINOSOS SILICONA X60 C/U,"1,300.00",0.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453827,ABANICO BORDADO C/LENTEJUELAS C/U,"4,000.00",-10.00,IMPORTADORA LOW COST S. R. L.,UNIDAD,
1453828,PULSERAS PASTEL BLISTER X 20U (SA2208),"9,600.00",-3.00,CHIALVO S R L,UNIDAD,
1453829,AUTITO CARRERAS BLISTER X 20U (SA2193),"16,600.00",-2.00,CHIALVO S R L,UNIDAD,
145383,CORBATINES CORBATAS X1,"1,100.00",0.00,,UNIDAD,
1453830,PATINETAS BLISTER X 24U (SA2171),"13,500.00",0.00,CHIALVO S R L,UNIDAD,
1453831,VINCHA METAL HAPPY BIRTHDAY X 1U,"3,000.00",0.00,CHIALVO S R L,UNIDAD,
1453832,LAPIZ FLEXIBLE X 6U,"4,900.00",0.00,CHIALVO S R L,UNIDAD,
1453833,GORRO ARGENTINA PELOTA PLUSH X 1U,"9,900.00",0.00,CHIALVO S R L,UNIDAD,
1453834,COLLAR HAWAIANO ARGENTINA CON LUZ X 1U,"6,000.00",-3.00,CHIALVO S R L,UNIDAD,
1453835,GALERON ARGENTINA CUADROS PLUSH X 1U,"9,900.00",0.00,CHIALVO S R L,UNIDAD,
1453836,CARAMELO DURO PICO DULCE LERITHIER 450G,"7,000.00",0.00,,UNIDAD,
1453837,LAPICERA DIVERTIDA ANIMALITOS X 1U,"1,000.00",0.00,CHIALVO S R L,UNIDAD,
1453838,LAPICERA FAST FOOD X 1U,"1,000.00",0.00,CHIALVO S R L,UNIDAD,
1453839,BURBUJERO CON HELICE X 1U (SA2244),450.00,0.00,CHIALVO S R L,UNIDAD,
1453840,BURBUJERO CON HELICE X 10U,"3,500.00",0.00,CHIALVO S R L,UNIDAD,
1453841,LAPICERA DIVERTIDA ANIMALITOS X 10U,"9,000.00",0.00,CHIALVO S R L,UNIDAD,
1453842,LAPICERA FAST FOOD X 10U,"9,000.00",0.00,CHIALVO S R L,UNIDAD,
1453843,BANDERIN PLASTICO ARGENTINA ARMADO X 1U (IMAGEN),"3,000.00",-9.00,CHIALVO S R L,UNIDAD,
1453844,RODHESIA CAJA 36U,"29,000.00",0.00,QUIPAR,UNIDAD,
1453845,TITA CAJA 36U,"27,000.00",0.00,QUIPAR,UNIDAD,
1453846,GORRO GRANADERO PARA ARMAR C/U,"1,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453847,PECHERA GRANADERO C/SABLE C/U,"1,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453848,ESPADA ZORRO ECONOMICA STASIO C/U,"3,900.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
145385,ANTIFAZ PLASTICO RIGIDO BLANCO/NEGRO,"1,500.00",0.00,,UNIDAD,
1453850,CORNETIN STASIO ARGENTINA X12,"1,500.00",-6.00,COTILLON CASA ALBERTO,UNIDAD,
1453851,BALANZA DIGITAL 10 KG,"9,000.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453852,GALERA PATRIA ESPECIAL GRANDE C/CINTA X 1U,"2,000.00",-11.00,COTILLON CASA ALBERTO,UNIDAD,
1453853,GALERA PATRIA GRANDE C/FAJA DE ARGENTINA HERRERA X 1U,"2,000.00",-3.00,COTILLON CASA ALBERTO,UNIDAD,
1453855,PAÑUELO NEGRITA CROSTI C/U,"2,500.00",-3.00,COTILLON CASA ALBERTO,UNIDAD,
1453858,YABOT ECONOMICO CROSTI X 1U,"3,500.00",-3.00,COTILLON CASA ALBERTO,UNIDAD,
145386,ANTIFAZ RIGIDO PLASTICO LISO COLOR,"1,800.00",0.00,,UNIDAD,
1453864,ESCARAPELA MOÑO SIMPLE X 24 C/U,300.00,0.00,COTILLON CASA ALBERTO,UNIDAD,
1453865,VELA CANDELABRO ILUMINARTE 20CM X1U,"1,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453866,VELON ALTO BLANCO X 1U (5.5X3.5),"1,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453867,CORNETA LARGA ARGENTINA X 6U STASIO (089),"5,900.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453868,CORNETA 2 PIEZAS ARGENTINA X 1U STASIO( 882),"2,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453869,COLLAR HAWAIANO TELA ARGENTINA X 1U,"2,000.00",-4.00,COTILLON CASA ALBERTO,UNIDAD,
145387,ANTIFAZ VENECIANO C/PUNTILLA Y GEMA BCO/NEGRO,"2,500.00",0.00,,UNIDAD,
1453870,VINCHA HAWAIANA ARGENTINA X 1U,"2,500.00",-3.00,COTILLON CASA ALBERTO,UNIDAD,
1453871,VASITO VASO POSTRE 100CC BOYANO CAJA 216U,"62,300.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453872,VASITO VASO POSTRE 100CC BOYANO X 100U,"33,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453873,VINCHA ARGENTINA C/FLORES Y CINTA X 1U,"3,500.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453874,VINCHA ARGENTINA CON RESORTE X 1U,"4,300.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453875,AMIGURUMI MINI,"15,000.00",0.00,,UNIDAD,
1453876,AMIGURUMI CHICO,"20,000.00",0.00,,UNIDAD,
1453877,AMIGURUMI MEDIANO,"25,000.00",-1.00,,UNIDAD,
1453878,AMIGURUMI GRANDE,"35,000.00",0.00,,UNIDAD,
1453879,TIARA METAL C/STRASS X 1U AO143,"6,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
145388,ANTIFAZ LUREX,"2,500.00",0.00,,UNIDAD,
1453880,TIARA METAL C/STRASS ROSA GOLD X 1U AO142,"6,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453881,VASO PLAST NEON 360CC X 50U,"7,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453882,VASO AMERICANO 590CC X 10,"3,000.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453883,VASO COPA ARGENTINA X 1U,"2,500.00",-2.00,COTILLON CASA ALBERTO,UNIDAD,
1453884,VINCHA SEDA ARGENTINA FLOWER TIME X 1U,"4,000.00",-5.00,COTILLON CASA ALBERTO,UNIDAD,
1453885,CORTANTE METAL REDONDO LISO N°5 X 1U,"1,700.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453886,GLOBOS LISOS GLOBOLANDIA 25U,"2,700.00",-1.00,,UNIDAD,
1453887,COPA DEL MUNDO PLASTICA 26CM,"2,900.00",-5.00,COTILLON CASA ALBERTO,UNIDAD,
1453888,MATRACA STASIO X12 CEL Y BLAN,"4,500.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453889,GALERA PLUSH ARGENTINA X1 20CM,"7,500.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
145389,ANTIFAZ SATINADO,"2,500.00",0.00,,UNIDAD,
1453890,GORRO ARQUELIN 2 PUNTAS ARGENTINA X1,"3,000.00",-2.00,COTILLON CASA ALBERTO,UNIDAD,
1453891,GALERA ARGENTINA JERSEY C/U,"3,600.00",-3.00,COTILLON CASA ALBERTO,UNIDAD,
1453892,ABANICOS BANDERA ARGENTINA C/U,"4,000.00",-4.00,COTILLON CASA ALBERTO,UNIDAD,
1453893,GALERA ARGENTINA 25CM JERSEY ROX X1,"6,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453894,GALERA METALIZADA ARGENTINA C/U,"12,000.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453895,GORRO BICORNIO BELGRANO TELA ROX,"5,500.00",-2.00,COTILLON CASA ALBERTO,UNIDAD,
1453896,GALERA VERTICAL ARGENTINA GER 10 C/U,"5,500.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453897,GORRO ARQUELIN 3 PUNTAS ARGENTINA,"5,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453898,PONCHO FISELINA BEIGE CON GUARDA X1,"5,500.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453899,GORRO COYA PAÑO CROSTI X1,"5,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
145390,ANTIFAZ COLORES LISOS,"1,500.00",0.00,,UNIDAD,
1453900,PULSERA CABLE ARGENTINA X10,"3,600.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453901,PASTA PARA CUBRIR TORTA 1 A 1 500 GR BLANCA,"3,500.00",-3.00,,UNIDAD,
1453902,CALIZ CHICO DORADO $300C/U X24,"4,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453903,CALIZ MINI C/U $300 X36,"4,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453904,COPITA COMUNION DORADA C/U $400 X36,"4,900.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453905,CRUZ PLASTICA DORADA C/U $100 X100,"3,600.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453907,SORBETE FLEXIBLE X 40U VS COLORES,"2,600.00",-4.00,COTILLON CASA ALBERTO,UNIDAD,
1453909,PRECINTOS PLAST 9CM X 1000 U APROX,"4,000.00",0.00,VASA,UNIDAD,
145391,ANTIFAZ VENECIANO AFELPADO ANIMAL PRINT,"1,950.00",0.00,,UNIDAD,
1453910,BOLSA ROLLO 15X25 MAS Y MAS X 1U,"8,500.00",0.00,VASA,UNIDAD,
1453911,PAPEL FOLEX 20X25 POLIMUNDI KG,"11,500.00",0.00,VASA,UNIDAD,
1453912,PAPEL FOLEX 20X25 POLIMUNDI 1/2 KG,"6,500.00",0.00,VASA,UNIDAD,
1453913,CUCHARAS SUNDAE BLANCA CAJA X 1000U COLONO,"19,000.00",0.00,VASA,UNIDAD,"50
"
1453914,CUCHARA SOPERA CAJA X 1000U COLONO,"41,900.00",-0.03,VASA,UNIDAD,
1453915,BOLSA PAPEL KRAFT N° 4 X 100U,"2,900.00",-0.10,VASA,UNIDAD,
1453916,BANDEJA CARTON GRIS N° 2 X 100 RECTANGULAR,"21,500.00",-0.50,VASA,UNIDAD,
1453917,BANDEJA CARTON GRIS N° 3 X 100U RECTANGULAR,"3,100.00",-0.30,VASA,UNIDAD,
1453918,BANDEJA PLASTICA 24 REDONDA X 1U,"1,000.00",-1.00,VASA,UNIDAD,
1453919,CHUPETIN BABY DOLL X4 24GR,700.00,-1.00,CHIALVO S R L,UNIDAD,
145392,ANTIFAZ VENECIANO C/BRILLO,"2,000.00",0.00,,UNIDAD,
1453920,MARACAS CELESTE Y BLANCAS X 1,550.00,0.00,COTILLON CASA ALBERTO,UNIDAD,
1453921,MARACAS CELESTE Y BLANCAS X 10U,"4,800.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453922,GALERA PLAST PATRIA CHICA C/CINTA X 1U,"2,000.00",-6.00,COTILLON CASA ALBERTO,UNIDAD,
1453923,PRECINTO PLAST 9 CM BOLSA X 20 GS APROX,"1,500.00",-1.00,VASA,UNIDAD,
1453924,PECHERA Y SABLE CARTON REALISTA X 1U G.M,"1,500.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453925,GOMA EVA CON GLITTER X 1U,"1,500.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
1453926,CUADERNO PROCER A4 RAYADO C/ESPIRAL 80H,"2,900.00",-1.00,COMERCIAL SUMA SRL,UNIDAD,
1453928,CAMISA PARA ATAR NEGRITO GDE X 1U SV35,"12,000.00",0.00,AICHINO HECTOR,UNIDAD,
1453929,ABANICO PLASTICO C/BORDADO X 1U,"4,000.00",-5.00,,UNIDAD,
1453930,POLLERA NEGRITA T.4 / T.6,"12,000.00",-1.00,PICULLI,UNIDAD,
1453931,POLLERA NEGRITA T.8 / T.10 X 1U,"14,000.00",0.00,PICULLI,UNIDAD,
1453932,FAJA CABALLERO TAFETA X 1 U,"3,000.00",0.00,COTILLON CASA ALBERTO,UNIDAD,
1453933,MOÑO CABALLERO PAÑO X 1U,"1,000.00",-3.00,PICULLI,UNIDAD,
1453934,CAMISA CABALLERO/GAUCHO T.4 / T.6 X 1U,"6,900.00",-1.00,PICULLI,UNIDAD,
1453935,CAMISA CABALLERO/GAUCHO T.8 / T.10 X 1U,"7,300.00",-4.00,PICULLI,UNIDAD,
1453936,BLUSA PAISANA/NEGRITA BLANCA T.4 / T.6 X 1U,"6,900.00",0.00,PICULLI,UNIDAD,
1453937,BLUSA PAISANA/NEGRITA BLANCA T.8 / T.10 X 1U,"7,300.00",-2.00,PICULLI,UNIDAD,
1453938,PEINETON GRANDE STASIO X 1U,"2,000.00",-4.00,COTILLON CASA ALBERTO,UNIDAD,
1453939,PEINETON PATRIO NEGRO X 1U HERRERA,"2,000.00",-10.00,COTILLON CASA ALBERTO,UNIDAD,
145394,ANTIFAZ VENECIANO C/TURBANTE,"4,500.00",0.00,,UNIDAD,
1453940,PEINETON PATRIO FLEX X 1U PATRIMAR,"1,000.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453941,BOMBACHA GAUCHO TAFETA T.4 / T.6 X 1U PUCULLI,"7,900.00",-2.00,PICULLI,UNIDAD,
1453942,BOMBACHA GAUCHO TAFETA T.8 / T.10 X 1U PUCULLI,"8,500.00",-6.00,PICULLI,UNIDAD,
1453943,YABOT CON FAJA CABALLERO TAFETA X 1U CROSTI,"4,500.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453944,PECHERA PAÑO PICCULI X 1U,"5,500.00",-9.00,PICULLI,UNIDAD,
1453945,PECHERA CABALLERO CARTON X 1U,"1,500.00",0.00,,UNIDAD,
1453946,SET PICCULI DISFRAZ CON ACCESORIO X 1U,"8,500.00",0.00,,UNIDAD,
1453948,DISFRAZ CABALLERO CANDELA T.4X 1U,"29,000.00",-3.00,COTILLON CASA ALBERTO,UNIDAD,
145395,MOÑO NEGRO,"3,500.00",0.00,,UNIDAD,
1453951,PONCHO Y GORRO COYA X 1U NEW TOYS,"22,000.00",-1.00,COTILLON CASA ALBERTO,UNIDAD,
1453953,ABANICO PLASTICO COLOR PARTY X 1U,"4,000.00",-6.00,,UNIDAD,
1453955,BIZCOCHUELO EXQUISITA 540GS - CHOCOLATE,"4,500.00",-1.00,,UNIDAD,
1453956,BROWNIE EXQUISITA 425GS CHOCOLATE,"5,500.00",-1.00,,UNIDAD,
1453957,CUBANITO CUBACOA C/DULCE DE LECHE X30U,"3,500.00",-11.00,CHIALVO S R L,UNIDAD,
1453958,ALFAJOR TERRABUSI - X UNIDAD - CHOCOLATE,"1,100.00",0.00,,UNIDAD,
1453959,POTE LISBOA GRANDE X 1 PLASTIVAS,800.00,0.00,VASA,UNIDAD,
145396,ANTIFAZ VENECIANO RIGIDO C/BRILLO,"1,500.00",0.00,,UNIDAD,
1453960,POTE LISBOA X 1OU,"7,000.00",0.00,VASA,UNIDAD,
