Consulta de Precios y Stock,,,,,,
,,,,,,
Código,Producto,GENERAL,DEPOSITO,Proveedor,Unidad,Observaciones
1164,VELAS LARGAS METALIZADAS C/PORTAVELA 12U,"3,500.00",0.00,,UNIDAD,
1165,VELAS PLASTICAS CORAZONES 4U,"2,400.00",0.00,,UNIDAD,
1167,VELAS VARIOS COLORES 10U,"1,800.00",0.00,,UNIDAD,
1169,SET VELAS C/FORMITAS,"2,000.00",0.00,,UNIDAD,
117,CAÑONCITOS X50U,0.00,-1.00,,UNIDAD,
117/03,MOLDES TORTA BODA RECTANGULAR N° 3 - 33X22X8 CM,"35,000.00",0.00,OTERO,UNIDAD,
117/04,MOLDES TORTA BODA RECTANGULAR N°4 - 26X36X8 CM,"37,000.00",0.00,OTERO,UNIDAD,
118,MINI ROCKLETS SUELTO KG,"28,000.00",-11.46,,KG,
119,GANACHE CHOCOLATE LODISER SUELTO KG,"16,000.00",-10.00,LA CASA DE DON LUCAS,KG,
12,TRAMONTANA SUELTA KG,"17,000.00",-12.20,LUCAS SANTIAGO,KG,
12011,PLATOS IMPRESOS COMUNION,"2,500.00",0.00,,UNIDAD,
12013,RECUERDO BAUTISMO NENA X 10,"1,000.00",0.00,,UNIDAD,
12014,VASOS COMUNION GREEN X10,"1,900.00",0.00,,UNIDAD,
12015,MANTEL PLASTICO COMUNION,"3,000.00",0.00,,UNIDAD,
12016,SERVILLETAS COMUNION GREEN X20,"1,800.00",0.00,,UNIDAD,
12019,PLANCHA COMUNION X 10,"2,800.00",0.00,,UNIDAD,
1202,SERVILLETAS BABY SHOWER,"3,900.00",0.00,,UNIDAD,
12042,"GLOBOS 12"" INFANTILES X6","4,200.00",0.00,,UNIDAD,
12043,GUIRNALDA MICKEY MOUSE,"2,400.00",0.00,,UNIDAD,
12050,PLANCHA DE STICKERS STITCH X24,"1,500.00",0.00,,UNIDAD,
120766,MARIPOSAS ADHESIVAS C/ BORDE DORADO X 12 U. HAPPY PARTY,"2,200.00",-1.00,,UNIDAD,
122,CREMA CHANTILLY LEDEVIT SUELTA KG,"14,000.00",16.01,LA CASA DE DON LUCAS,KG,
1235,CAJA PARA TAZON BCA CON VISOR X 1U,"1,000.00",0.00,SANTA CAJA,UNIDAD,
124,CREMA SUAVE LEDEVIT SUELTA KG,"13,000.00",-15.00,LA CASA DE DON LUCAS,KG,
13,FECULA DE MAIZ SUELTA KG,"2,000.00",-37.00,NICCO,KG,
130,MERENGUES SUELTOS,0.00,-2.00,,UNIDAD,
131,ROCKLETS SUELTO KG,"28,000.00",-21.85,LUCAS SANTIAGO,KG,
133,DESCARTABLE VARIOS,0.00,-226.00,,UNIDAD,
1342,BANDERIN MI CONFIRMACION,"3,000.00",0.00,,UNIDAD,
1343,BANDERIN AMARILLO Y BLANCO CARTON GOLD MUNDO,"2,800.00",0.00,,UNIDAD,
1345,BANDERIN MIS 18 AÑOS,"2,500.00",0.00,,UNIDAD,
1346,BANDERIN EGRESADOS,"3,000.00",0.00,,UNIDAD,
136,REDONDELAS MAPSA SUELTO KG VS SABORES,"18,000.00",-13.30,SAPORE,KG,
137,CONFITES CORAZON CHOCOLATE SUELTO KG,"22,000.00",-10.35,LUCAS SANTIAGO,KG,
139,PULPA DE ANANA,"15,000.00",0.00,,KG,
14,PLANCHAS DE MERENGUE ROSSI,"5,100.00",0.00,,UNIDAD,
1404038,CUCHARA CAFE MINI CAJA X 1500 U,"23,500.00",-0.08,VASA,UNIDAD,
141,LIBRERIA,0.00,-60.00,,UNIDAD,
141-378,BROCHE GRAP 10/50 X 1000 UNID,"1,500.00",0.00,COMERCIAL SUMA SRL,UNIDAD,
141-379,PALITO HELADO COLOR EZCO X 50 UNID.,"1,500.00",0.00,,UNIDAD,
141-380,AROS PARA CARPETA SIFAP 50 MM,300.00,0.00,,UNIDAD,
141-381,ARO PARA CARPETA 40 MM,250.00,0.00,,UNIDAD,
141-382,PLASTILINAS DE CCOLORES,350.00,0.00,,UNIDAD,
1410,ETIQUETAS ESCOLARES,250.00,0.00,,UNIDAD,
14110,CLIPS N°3,490.00,0.00,,UNIDAD,
141100,HOJAS CUADRICULADAS RIVADAVIA 96 HOJAS,"8,300.00",0.00,,UNIDAD,
141102,TABLA PERIODICA,"1,100.00",0.00,,UNIDAD,
141105,HOJAS RIVADAVIA 24 LISAS,"2,100.00",0.00,,UNIDAD,
141106,HOJAS GLORIA X96 HOJAS CUADRICULADA,"3,000.00",0.00,,UNIDAD,
141107,HOJA CUADRICULADA EXITO 96 HOJAS,"7,900.00",0.00,,UNIDAD,
141109,HOJAS DIBUJO COLOR EXITO 8 HOJAS,"1,800.00",0.00,,UNIDAD,
